,_id,coc,con,brc,brn,OC,BCM,BC,MBC,SCA,SC,ST
0,62b0ba0e789189e900015fae,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AI,AGRICULTURAL AND IRRIGATION ENGG.(SS),4125.0,8691,7203,11099,39651,17541,35117
1,62b0ba0e789189e900015fb0,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",BY,BIO MEDICAL ENGG(SS),1886.0,3663,3340,4983,14794,9306,21403
2,62b0ba0e789189e900015fb8,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CE,CIVIL ENGINEERING,1781.0,2271,2593,3405,10906,7952,27452
3,62b0ba0e789189e900015faf,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CM,COMPUTER SCIENCE AND ENGG.(SS),409.0,1151,754,1883,18914,12899,20191
4,62b0ba0e789189e900015fb6,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CS,COMPUTER SCIENCE AND ENGG.,92.0,294,166,632,3356,3100,9271
5,62b0ba0e789189e900015fba,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EC,ELECTRONICS AND COMMUNICATION ENGG.,103.0,547,302.5,432,5878,2892,14073
6,62b0ba0e789189e900015fb1,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EE,ELECTRICAL AND ELECTRONICS ENGG.,587.0,1861,1110.5,1319,8315,4082,30111
7,62b0ba0e789189e900015fb7,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EM,ELECTRONICS AND COMMUNICATION ENGG. (SS),636.0,3447,996,2161,22675,9525,31157
8,62b0ba0e789189e900015fb9,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",GI,GEO-INFORMATICS,5051.0,7703,6533,9892,62312,22914,
9,62b0ba0e789189e900015fb2,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IE,INDUSTRIAL ENGINEERING,3545.0,12073,6733,10527,50687,23526,
10,62b0ba0e789189e900015fb3,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IM,INFORMATION TECHNOLOGY(SS),1269.0,3701,1676,3655,24548,16408,13306
11,62b0ba0e789189e900015fb4,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MA,MATERIALS SCIENCE AND ENGG.(SS),6437.0,13508,9722,12964,39403,29484,
