,Unnamed: 0,_id,coc,con,brc,brn,OC,BCM,BC,MBC,SCA,SC,ST,year
0,0,62b0ba0e789189e900015fae,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AI,AGRICULTURAL AND IRRIGATION ENGG.(SS),4125.0,8691.0,7203.0,11099.0,39651.0,17541.0,35117.0,2018
1,1,62b0ba0e789189e900015fb0,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",BY,BIO MEDICAL ENGG(SS),1886.0,3663.0,3340.0,4983.0,14794.0,9306.0,21403.0,2018
2,2,62b0ba0e789189e900015fb8,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CE,CIVIL ENGINEERING,1781.0,2271.0,2593.0,3405.0,10906.0,7952.0,27452.0,2018
3,3,62b0ba0e789189e900015faf,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CM,COMPUTER SCIENCE AND ENGG.(SS),409.0,1151.0,754.0,1883.0,18914.0,12899.0,20191.0,2018
4,4,62b0ba0e789189e900015fb6,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CS,COMPUTER SCIENCE AND ENGG.,92.0,294.0,166.0,632.0,3356.0,3100.0,9271.0,2018
5,5,62b0ba0e789189e900015fba,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EC,ELECTRONICS AND COMMUNICATION ENGG.,103.0,547.0,302.5,432.0,5878.0,2892.0,14073.0,2018
6,6,62b0ba0e789189e900015fb1,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EE,ELECTRICAL AND ELECTRONICS ENGG.,587.0,1861.0,1110.5,1319.0,8315.0,4082.0,30111.0,2018
7,7,62b0ba0e789189e900015fb7,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",EM,ELECTRONICS AND COMMUNICATION ENGG. (SS),636.0,3447.0,996.0,2161.0,22675.0,9525.0,31157.0,2018
8,8,62b0ba0e789189e900015fb9,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",GI,GEO-INFORMATICS,5051.0,7703.0,6533.0,9892.0,62312.0,22914.0,,2018
9,9,62b0ba0e789189e900015fb2,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IE,INDUSTRIAL ENGINEERING,3545.0,12073.0,6733.0,10527.0,50687.0,23526.0,,2018
10,10,62b0ba0e789189e900015fb3,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IM,INFORMATION TECHNOLOGY(SS),1269.0,3701.0,1676.0,3655.0,24548.0,16408.0,13306.0,2018
11,11,62b0ba0e789189e900015fb4,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MA,MATERIALS SCIENCE AND ENGG.(SS),6437.0,13508.0,9722.0,12964.0,39403.0,29484.0,,2018
12,12,62b0ba0e789189e900015fb5,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",ME,MECHANICAL ENGINEERING,725.0,3010.0,1381.5,2255.0,10163.0,6574.0,14774.0,2018
13,13,62b0ba0e789189e900015fbb,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MI,MINING ENGINEERING,5059.0,10792.0,7712.0,7641.0,26464.0,20138.0,,2018
14,14,62b0ba0e789189e900015fbc,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",MN,MANUFACTURING ENGINEERING,4886.0,8548.0,7054.0,8308.0,45446.0,18303.0,,2018
15,15,62b0ba0e789189e900015fbd,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PT,PRINTING TECHNOLOGY,7684.5,14356.0,10511.0,14084.0,28643.0,31050.0,60046.0,2018
16,16,62b0ba0e789189e900015fbe,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XC,CIVIL ENGINEERING - TAMIL MEDIUM,16349.0,30746.0,27920.0,30655.0,39789.0,46599.0,45554.0,2018
17,17,62b0ba0e789189e900015fbf,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XM,MECHANICAL ENGINEERING - TAMIL MEDIUM,14091.0,24400.0,22809.0,29160.0,70333.0,49871.0,,2018
18,18,62b0ba0e789189e900015fc0,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AP,APPAREL TECHNOLOGY(SS),12530.0,17457.0,17256.0,24068.0,81711.0,42076.0,,2018
19,19,62b0ba0e789189e900015fc1,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CH,CHEMICAL ENGINEERING,2035.0,3191.0,2618.0,5725.0,12852.0,9683.0,32446.0,2018
20,20,62b0ba0e789189e900015fc2,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CL,CHEMICAL ENGINEERING(SS),4074.0,6000.0,5335.0,8922.0,24364.0,19277.0,76408.0,2018
21,21,62b0ba0e789189e900015fc3,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CR,CERAMIC TECHNOLOGY(SS),13019.0,24776.0,15866.0,22558.0,81149.0,39768.0,,2018
22,22,62b0ba0e789189e900015fc4,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",FS,FOOD TECHNOLOGY(SS),6470.0,9547.0,7831.0,9949.0,27349.0,27599.0,,2018
23,23,62b0ba0e789189e900015fc5,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IB,INDUSTRIAL BIO-TECHNOLOGY,1715.0,11370.0,3791.0,7059.0,29663.0,13553.0,,2018
24,24,62b0ba0e789189e900015fc6,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",IS,INDUSTRIAL BIO-TECHNOLOGY(SS),5015.0,11714.0,7020.0,11382.5,55072.0,26235.0,,2018
25,25,62b0ba0e789189e900015fc7,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",LE,LEATHER TECHNOLOGY,14002.0,20459.0,16997.0,22135.0,28929.0,35217.0,67670.0,2018
26,26,62b0ba0e789189e900015fca,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PM,PHARMACEUTICAL TECHNOLOGY(SS),8074.0,11465.0,10634.0,15218.0,73157.0,32347.0,,2018
27,27,62b0ba0e789189e900015fc8,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",PP,PETROLEUM ENGINEERING AND TECH(SS),7159.0,15408.0,10799.0,14503.0,42431.0,28917.0,38233.0,2018
28,28,62b0ba0e789189e900015fc9,2,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - ACT CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",TX,TEXTILE TECHNOLOGY,10537.0,19324.0,12687.0,16914.0,21974.0,28443.0,43610.0,2018
29,29,62b0ba0e789189e900015fcb,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AE,AERONAUTICAL ENGINEERING,1295.0,4571.0,2939.0,4523.0,16258.0,8728.0,,2018
30,30,62b0ba0e789189e900015fcc,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AS,AUTOMOBILE ENGINEERING (SS),6621.0,10362.0,8206.0,11118.0,45954.0,24468.0,,2018
31,31,62b0ba0e789189e900015fcd,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",AU,AUTOMOBILE ENGINEERING,3327.0,7850.0,4547.0,6059.0,24153.0,20364.0,32741.0,2018
32,32,62b0ba0e789189e900015fcf,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",CM,COMPUTER SCIENCE AND ENGG.(SS),1277.0,4114.0,1590.0,2961.0,29753.0,14510.0,,2018
33,33,62b0ba0e789189e900015fd0,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",CS,COMPUTER SCIENCE AND ENGG.,737.0,1038.0,1040.0,1992.0,11504.0,7201.0,16375.0,2018
34,34,62b0ba0e789189e900015fce,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EC,ELECTRONICS AND COMMUNICATION ENGG.,892.0,2177.0,1201.0,1812.0,7709.0,4875.0,18855.0,2018
35,35,62b0ba0e789189e900015fd2,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EI,ELECTRONICS AND INSTRU ENGG.,2033.0,7460.0,2975.0,4208.0,17533.0,13406.0,38048.0,2018
36,36,62b0ba0e789189e900015fd1,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EM,ELECTRONICS AND COMMUNICATION ENGG. (SS),1777.0,6998.0,2199.0,3299.0,33110.0,14788.0,31213.0,2018
37,37,62b0ba0e789189e900015fd6,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",EX,ELECTRONICS AND INSTRU ENGG(SS),3353.0,8069.0,3985.0,5686.0,37124.0,19990.0,,2018
38,38,62b0ba0e789189e900015fd3,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",IM,INFORMATION TECHNOLOGY(SS),2074.0,5232.0,2821.0,4691.0,37525.0,19543.0,33204.0,2018
39,39,62b0ba0e789189e900015fd5,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",MF,MECHANICAL ENGINEERING(SS),2018.0,5109.0,2491.0,3707.0,19641.5,10285.0,35146.0,2018
40,40,62b0ba0e789189e900015fd4,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",PR,PRODUCTION ENGINEERING,5493.0,10775.0,7260.0,10826.0,34465.0,25211.0,80683.0,2018
41,41,62b0ba0e789189e900015fd8,4,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - MIT CAMPUS,CHROMPET,,KANCHEEPURAM DIST, PIN - 600044.",RP,RUBBER AND PLASTIC TECHNOLOGY,10535.0,16561.0,13123.0,16404.0,56945.0,31946.0,61609.0,2018
42,42,62b0ba0e789189e900015fd7,1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,VILLUPURAM (POST) , KAKUPPAM (VILLAGE),VILLUPURAM DIST, PIN - 605103.",CS,COMPUTER SCIENCE AND ENGG.,28491.0,44918.0,42427.0,40616.0,,59895.0,82154.0,2018
43,43,62b0ba0e789189e900015fdd,1013,"UNIVERSITY COLLEGE OF ENGINEERING, VILLUPURAM,VILLUPURAM (POST) , KAKUPPAM (VILLAGE),VILLUPURAM DIST, PIN - 605103.",EC,ELECTRONICS AND COMMUNICATION ENGG.,30368.0,41411.0,55676.0,38490.0,46280.0,63685.0,,2018
