,Unnamed: 0,_id,coc,con,brc,brn,BC,BCM,MBC,OC,SC,SCA,ST,year
0,0,62b0ba9d8f1fecb65cca5ea2,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BY,Bio- Medical Engineering (SS),188.0,188.0,187.5,192.0,178.5,152.0,144.5,2019
1,1,62b0ba9d8f1fecb65cca5ea3,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CE,Civil Engineering,188.5,186.0,186.0,189.75,183.0,152.5,171.5,2019
2,2,62b0ba9d8f1fecb65cca5ea4,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CM,Computer Science and Engineering (SS),194.0,192.5,191.5,195.0,183.0,182.0,176.5,2019
3,3,62b0ba9d8f1fecb65cca5ea5,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CS,Computer Science and Engineering,196.5,197.5,194.75,198.0,190.25,,171.0,2019
4,4,62b0ba9d8f1fecb65cca5ea6,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EC,Electronics and Communication Engineering,195.5,195.0,193.0,196.75,191.0,179.5,186.0,2019
5,5,62b0ba9d8f1fecb65cca5ea7,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EE,Electrical and Electronics Engineering,192.0,190.0,191.5,195.0,184.5,176.5,182.75,2019
6,6,62b0ba9d8f1fecb65cca5ea8,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EM,Electronics and Communication Engg. (SS),191.75,191.0,189.0,193.33,179.0,154.5,170.75,2019
7,7,62b0ba9d8f1fecb65cca5ea9,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GI,Geo-Informatics,185.25,183.0,183.5,187.5,174.0,170.25,165.0,2019
8,8,62b0ba9d8f1fecb65cca5eaa,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IE,Industrial Engineering,183.0,181.5,178.0,185.0,164.25,156.5,,2019
9,9,62b0ba9d8f1fecb65cca5eae,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IM,Information Tech. (SS),190.5,189.0,188.5,192.5,177.0,155.0,181.25,2019
10,10,62b0ba9d8f1fecb65cca5eab,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MA,Material Science and Engineering (SS),178.5,181.5,172.0,183.0,168.5,134.5,,2019
11,11,62b0ba9d8f1fecb65cca5ead,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ME,Mechanical Engineering,190.5,189.75,187.5,192.5,183.5,172.5,177.0,2019
12,12,62b0ba9d8f1fecb65cca5eac,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MI,Mining Engineering,183.0,184.75,179.0,187.0,179.0,162.5,,2019
13,13,62b0ba9d8f1fecb65cca5eb2,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MN,Manufacturing Engineering,180.0,178.5,176.5,184.0,163.25,144.5,,2019
14,14,62b0ba9d8f1fecb65cca5eaf,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",PT,Printing and Packaging Technology,178.0,177.0,172.0,180.5,167.0,167.5,,2019
15,15,62b0ba9d8f1fecb65cca5eb0,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XC,Civil Engineering (Tamil Medium),169.0,172.5,162.0,175.75,148.0,160.67,,2019
16,16,62b0ba9d8f1fecb65cca5eb1,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XM,Mechanical Engineering (Tamil Medium),169.75,163.5,158.0,176.0,138.0,,,2019
17,17,62b0ba9d8f1fecb65cca5eb3,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",AP,Apparel Technology (SS),166.5,168.0,155.5,174.0,139.0,113.5,,2019
18,18,62b0ba9d8f1fecb65cca5eb4,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CH,Chemical Engineering,188.5,187.5,184.0,190.0,176.0,174.0,134.0,2019
19,19,62b0ba9d8f1fecb65cca5eb5,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CL,Chemical Engineering (SS),185.0,182.0,179.0,187.0,163.5,138.5,,2019
20,20,62b0ba9d8f1fecb65cca5eb6,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CR,Ceramic Technology (SS),162.5,156.0,154.0,168.0,144.5,113.5,,2019
21,21,62b0ba9d8f1fecb65cca5eb7,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",FS,Food Technology (SS),183.5,176.0,173.5,186.0,170.0,139.5,147.25,2019
22,22,62b0ba9d8f1fecb65cca5eb8,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",IB,Industrial Bio-Technology,187.0,182.5,179.75,190.75,166.5,149.0,,2019
23,23,62b0ba9d8f1fecb65cca5eba,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",IS,Industrial Bio-Tech. (SS),184.0,180.0,172.25,190.0,163.75,138.5,,2019
24,24,62b0ba9d8f1fecb65cca5ebd,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",LE,Leather Technology,162.5,152.5,157.0,169.0,148.5,121.0,126.0,2019
25,25,62b0ba9d8f1fecb65cca5eb9,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PM,Pharmaceutical Tech (SS),173.5,175.5,167.0,179.0,150.5,143.0,124.5,2019
26,26,62b0ba9d8f1fecb65cca5ec0,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PP,Petroleum Engineering and Technology (SS),173.0,175.0,167.5,178.5,150.0,117.5,,2019
27,27,62b0ba9d8f1fecb65cca5ec3,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",TX,Textile Technology,165.0,159.5,164.5,173.0,142.0,133.5,139.5,2019
28,28,62b0ba9d8f1fecb65cca5ebe,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",AE,Aeronautical Engineering,190.0,185.5,185.0,192.0,179.0,166.0,,2019
29,29,62b0ba9d8f1fecb65cca5ec2,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",AS,Automobile Engineering (SS),180.0,177.0,174.5,183.5,159.0,123.5,,2019
30,30,62b0ba9d8f1fecb65cca5ec6,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",AU,Automobile Engineering,185.0,179.0,177.5,187.5,170.0,155.5,150.0,2019
31,31,62b0ba9d8f1fecb65cca5ec4,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",CM,Computer Science and Engineering (SS),192.0,188.5,190.0,193.0,179.0,149.0,148.0,2019
32,32,62b0ba9d8f1fecb65cca5ebb,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",CS,Computer Science and Engineering,193.25,190.0,191.5,194.5,184.5,190.0,165.5,2019
33,33,62b0ba9d8f1fecb65cca5ebc,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",EC,Electronics and Communication Engineering,192.0,190.0,190.0,193.5,183.75,173.5,161.5,2019
34,34,62b0ba9d8f1fecb65cca5ebf,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",EI,Electronics and Instrumentation Engineering,188.5,187.0,185.0,190.0,170.0,143.0,,2019
35,35,62b0ba9d8f1fecb65cca5ec1,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",EM,Electronics and Communication Engg. (SS),190.0,186.0,185.5,191.0,173.0,144.0,143.0,2019
36,36,62b0ba9d8f1fecb65cca5ec5,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",IM,Information Tech. (SS),190.0,187.5,185.5,190.0,170.5,143.5,146.0,2019
37,37,62b0ba9d8f1fecb65cca5ec7,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",MF,Mechanical Engg. (SS),189.5,183.5,185.0,190.0,171.0,130.0,131.0,2019
38,38,62b0ba9d8f1fecb65cca5ec8,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",PR,Production Engineering,179.5,178.25,175.5,184.0,158.5,131.5,142.0,2019
39,39,62b0ba9d8f1fecb65cca5ec9,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",RP,Rubber and Plastic Tech.,171.5,169.0,163.5,178.0,144.0,124.0,131.25,2019
40,40,62b0ba9d8f1fecb65cca5eca,5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore 608002",AM,Computer Science and Engineering (AI and Machine Learning),126.5,109.5,110.5,152.5,98.5,110.5,,2019
41,41,62b0ba9d8f1fecb65cca5ecb,5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore 608002",BD,Computer Science and Engineering (Big Data Analytics),92.0,106.5,80.0,117.0,80.0,,,2019
42,42,62b0ba9d8f1fecb65cca5ecc,5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore 608002",CE,Civil Engineering,85.0,111.5,83.0,116.5,96.5,,,2019
43,43,62b0ba9d8f1fecb65cca5ecd,5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore 608002",CH,Chemical Engineering,116.5,136.5,107.0,155.0,113.0,,,2019
