,_id,coc,con,brc,brn,BC,BCM,MBC,OC,SC,SCA,ST
0,62b0baafccc07e59eb46bde8,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BY,Bio- Medical Engineering (SS),3449,3493,3867,1273,9422,29257,35187
1,62b0baafccc07e59eb46bde9,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CE,Civil Engineering,3256,4625,4633,2668,6356,28880,14076
2,62b0baafccc07e59eb46bdea,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CM,Computer Science and Engineering (SS),642,1078,1415,411,6568,6946,10568
3,62b0baafccc07e59eb46bdeb,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CS,Computer Science and Engineering,206,126,499,87,1934,,14448
4,62b0baafccc07e59eb46bdec,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EC,Electronics and Communication Engineering,325,433,873,188,1614,8812,4568
5,62b0baafccc07e59eb46bded,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EE,Electrical and Electronics Engineering,1146,2018,1443,476,5405,10801,6607
6,62b0baafccc07e59eb46bdef,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EM,Electronics and Communication Engg. (SS),1328,1615,3149,846,8967,27071,14797
7,62b0baafccc07e59eb46bdee,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GI,Geo-Informatics,5106,6326,6201,3817,12551,15170,19106
8,62b0baafccc07e59eb46bdf0,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IE,Industrial Engineering,6408,7300,9683,5155,19602,25540,
9,62b0baafccc07e59eb46bdf1,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IM,Information Tech. (SS),1764,2991,3342,1052,10369,26720,7558
