,Unnamed: 0,_id,coc,con,brc,brn,BC,BCM,MBC,OC,SC,SCA,ST,year
0,0,62b0baafccc07e59eb46bde8,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BY,Bio- Medical Engineering (SS),3449.0,3493.0,3867.0,1273.0,9422.0,29257.0,35187.0,2019
1,1,62b0baafccc07e59eb46bde9,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CE,Civil Engineering,3256.0,4625.0,4633.0,2668.0,6356.0,28880.0,14076.0,2019
2,2,62b0baafccc07e59eb46bdea,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CM,Computer Science and Engineering (SS),642.0,1078.0,1415.0,411.0,6568.0,6946.0,10568.0,2019
3,3,62b0baafccc07e59eb46bdeb,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CS,Computer Science and Engineering,206.0,126.0,499.0,87.0,1934.0,,14448.0,2019
4,4,62b0baafccc07e59eb46bdec,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EC,Electronics and Communication Engineering,325.0,433.0,873.0,188.0,1614.0,8812.0,4568.0,2019
5,5,62b0baafccc07e59eb46bded,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EE,Electrical and Electronics Engineering,1146.0,2018.0,1443.0,476.0,5405.0,10801.0,6607.0,2019
6,6,62b0baafccc07e59eb46bdef,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EM,Electronics and Communication Engg. (SS),1328.0,1615.0,3149.0,846.0,8967.0,27071.0,14797.0,2019
7,7,62b0baafccc07e59eb46bdee,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GI,Geo-Informatics,5106.0,6326.0,6201.0,3817.0,12551.0,15170.0,19106.0,2019
8,8,62b0baafccc07e59eb46bdf0,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IE,Industrial Engineering,6408.0,7300.0,9683.0,5155.0,19602.0,25540.0,,2019
9,9,62b0baafccc07e59eb46bdf1,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IM,Information Tech. (SS),1764.0,2991.0,3342.0,1052.0,10369.0,26720.0,7558.0,2019
10,10,62b0baafccc07e59eb46bdf2,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MA,Material Science and Engineering (SS),9439.0,7378.0,13971.0,6508.0,16586.0,44133.0,,2019
11,11,62b0baafccc07e59eb46bdf3,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ME,Mechanical Engineering,1795.0,2667.0,3865.0,1106.0,6213.0,13664.0,10416.0,2019
12,12,62b0baafccc07e59eb46bdf4,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MI,Mining Engineering,6331.0,5392.0,9176.0,4162.0,8937.0,21097.0,,2019
