,Unnamed: 0,_id,coc,con,brc,brn,OC,BC,BCM,MBC,SC,SCA,ST,year
0,0,62b0bac3705ac3b5decdd0e6,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BY,Bio- Medical Engineering (SS),1496,2720.0,3672.0,4055.0,7906.0,25598.0,18804.0,2020
1,1,62b0bac3705ac3b5decdd0e5,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CE,Civil Engineering,2091,3291.0,3253.0,5369.0,7573.0,7796.0,9988.0,2020
2,2,62b0bac3705ac3b5decdd0ec,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CM,Computer Science and Engineering (SS),239,409.0,635.0,1182.0,4217.0,8033.0,5858.0,2020
3,3,62b0bac3705ac3b5decdd0ed,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CS,Computer Science and Engineering,35,105.0,176.0,364.0,1030.0,646.0,301.0,2020
4,4,62b0bac3705ac3b5decdd0e7,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EC,Electronics and Communication Engineering,163,434.0,1115.0,1039.0,2343.0,5412.0,3924.0,2020
5,5,62b0bac3705ac3b5decdd0ef,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EE,Electrical and Electronics Engineering,676,1223.0,860.0,1722.0,3794.0,2019.0,11168.0,2020
6,6,62b0bac3705ac3b5decdd0f0,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EM,Electronics and Communication Engg. (SS),653,1097.0,1770.0,2631.0,6257.0,17903.0,18794.0,2020
7,7,62b0bac3705ac3b5decdd0ee,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GI,Geo-Informatics,3110,4640.0,7502.0,6162.0,13822.0,8711.0,9532.0,2020
8,8,62b0bac3705ac3b5decdd0f2,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IE,Industrial Engineering,3434,5026.0,5395.0,8790.0,14415.0,26821.0,,2020
9,9,62b0bac3705ac3b5decdd0e8,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IM,Information Tech. (SS),685,1123.0,1853.0,2525.0,8575.0,20447.0,15438.0,2020
10,10,62b0bac3705ac3b5decdd0e9,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MA,Material Science and Engineering (SS),4648,6217.0,9942.0,9889.0,19871.0,37865.0,,2020
11,11,62b0bac3705ac3b5decdd0ea,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ME,Mechanical Engineering,1211,2100.0,2943.0,3610.0,6812.0,22994.0,11505.0,2020
12,12,62b0bac3705ac3b5decdd0eb,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MI,Mining Engineering,6172,8905.0,12475.0,12034.0,17256.0,33721.0,,2020
13,13,62b0bac3705ac3b5decdd0f1,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MN,Manufacturing Engineering,5115,6329.0,9642.0,9744.0,16326.0,36118.0,,2020
14,14,62b0bac3705ac3b5decdd0f3,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",PT,Printing Technology,9469,11148.0,16675.0,15583.0,17979.0,49368.0,,2020
15,15,62b0bac3705ac3b5decdd0f6,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XC,Civil Engineering (Tamil Medium),12078,19415.0,19737.0,16546.0,29895.0,25217.0,,2020
16,16,62b0bac3705ac3b5decdd0f4,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XM,Mechanical Engineering (Tamil Medium),10781,20055.0,29795.0,15003.0,21472.0,,42426.0,2020
17,17,62b0bac3705ac3b5decdd3c5,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",AP,Apparel Technology (SS),20011,23155.0,34778.0,29880.0,38390.0,65836.0,,2020
18,18,62b0bac3705ac3b5decdd3c6,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CH,Chemical Engineering,2006,3402.0,5500.0,7083.0,12613.0,34301.0,6683.0,2020
19,19,62b0bac3705ac3b5decdd3c8,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CL,Chemical Engineering (SS),3776,5288.0,6372.0,10591.0,23162.0,44832.0,,2020
20,20,62b0bac3705ac3b5decdd3c9,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CR,Ceramic Technology (SS),16621,23084.0,30974.0,25309.0,39858.0,61407.0,,2020
21,21,62b0bac3705ac3b5decdd3ca,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",FS,Food Technology (SS),5099,7072.0,8535.0,12014.0,13672.0,32101.0,54278.0,2020
22,22,62b0bac3705ac3b5decdd3cb,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",IB,Industrial Bio-Technology,1020,1995.0,5169.0,6773.0,12915.0,27935.0,,2020
23,23,62b0bac3705ac3b5decdd3cc,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",IS,Industrial Bio-Tech. (SS),1978,3055.0,6233.0,10050.0,16756.0,38634.0,,2020
24,24,62b0bac3705ac3b5decdd3ce,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",LE,Leather Technology,17083,20662.0,20709.0,27496.0,33309.0,57357.0,68140.0,2020
25,25,62b0bac3705ac3b5decdd3cd,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PM,Pharmaceutical Tech (SS),7634,10577.0,12524.0,18467.0,26166.0,45981.0,13521.0,2020
26,26,62b0bac3705ac3b5decdd3cf,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PP,Petroleum Engineering and Technology (SS),10477,14163.0,11868.0,18157.0,31237.0,50508.0,,2020
27,27,62b0bac3705ac3b5decdd3d0,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",TX,Textile Technology,12306,18543.0,24147.0,25677.0,35144.0,49643.0,44019.0,2020
28,28,62b0bac5705ac3b5decdd8c3,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AE,Aeronautical Engineering,1267,2636.0,3701.0,4417.0,7099.0,20215.0,,2020
29,29,62b0bac5705ac3b5decdd8c4,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AS,Automobile Engineering (SS),6702,8896.0,6627.0,13106.0,19127.0,40614.0,,2020
30,30,62b0bac5705ac3b5decdd8c5,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AU,Automobile Engineering,4125,5596.0,5638.0,9046.0,13779.0,15749.0,26327.0,2020
31,31,62b0bac5705ac3b5decdd8c6,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CM,Computer Science and Engineering (SS),713,1169.0,1095.0,2219.0,6078.0,20295.0,16644.0,2020
32,32,62b0bac5705ac3b5decdd8c7,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",CS,Computer Science and Engineering,351,536.0,903.0,1413.0,3461.0,6677.0,,2020
33,33,62b0bac5705ac3b5decdd8c9,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EC,Electronics and Communication Engineering,798,1172.0,2089.0,2732.0,4335.0,12988.0,7949.0,2020
34,34,62b0bac5705ac3b5decdd8c8,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EI,Electronics and Instrumentation Engineering,1956,2711.0,3998.0,5165.0,11927.0,26975.0,,2020
35,35,62b0bac5705ac3b5decdd8ca,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",EM,Electronics and Communication Engg. (SS),1462,1830.0,3233.0,3850.0,11754.0,23181.0,51442.0,2020
36,36,62b0bac5705ac3b5decdd8cb,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",IM,Information Tech. (SS),1341,1700.0,2851.0,3536.0,12206.0,26450.0,28977.0,2020
37,37,62b0bac5705ac3b5decdd8cc,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",MF,Mechanical Engg. (SS),2275,3021.0,3857.0,5860.0,13591.0,29440.0,43109.0,2020
38,38,62b0bac5705ac3b5decdd8cd,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",PR,Production Engineering,5320,7037.0,7921.0,12236.0,19623.0,44445.0,40351.0,2020
39,39,62b0bac5705ac3b5decdd8ce,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",RP,Rubber and Plastic Tech.,9906,13592.0,25593.0,19604.0,28592.0,53765.0,71766.0,2020
40,40,62b0bac5705ac3b5decdda1b,5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",AM,Computer Science and Engineering (AI and Machine Learning),47272,100744.0,87206.0,93888.0,101449.0,,,2020
41,41,62b0bac5705ac3b5decdda1c,5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",BD,Computer Science and Engineering (Big Data Analytics),83121,110793.0,,90702.0,110333.0,,,2020
