,_id,coc,con,brc,brn,OC,BC,BCM,MBCV,MBCDNC,MBC,SC,SCA,ST
0,62b0bb354825d977e44bfd82,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BY,BIO MEDICAL ENGINEERING  (SS),1248,1998,2390,3397,7177,1420,8937,22463,26147
1,62b0bb354825d977e44bfd83,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CE,CIVIL  ENGINEERING,2326,3227,6363,5193,6612,2527,7316,23541,43295
2,62b0bb354825d977e44bfd84,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CM,COMPUTER SCIENCE AND ENGINEERING (SS),175,260,631,771,501,312,2940,3853,5838
3,62b0bb354825d977e44bfd85,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CS,COMPUTER SCIENCE AND ENGINEERING,29,111,388,172,196,67,551,2101,3779
4,62b0bb354825d977e44bfd87,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,218,332,789,870,962,368,1680,4067,3514
5,62b0bb354825d977e44bfd86,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,809,1297,2153,2085,2126,1046,5615,6509,5534
6,62b0bb354825d977e44bfd89,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),540,722,853,1684,1198,724,3760,8916,11789
7,62b0bb354825d977e44bfd8a,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GI,GEO INFORMATICS,2648,3961,4374,4010,9158,2693,10811,22902,
8,62b0bb354825d977e44bfd88,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IE,INDUSTRIAL ENGINEERING,3983,5004,6580,7943,9213,4896,12535,29151,
9,62b0bb354825d977e44bfd8c,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IM,INFORMATION TECHNOLOGY (SS),470,720,1661,1362,880,856,4894,8754,3569
