,Unnamed: 0,_id,coc,con,brc,brn,OC,BC,BCM,MBCV,MBCDNC,MBC,SC,SCA,ST,year
0,0,62b0bb354825d977e44bfd82,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BY,BIO MEDICAL ENGINEERING  (SS),1248,1998.0,2390.0,3397.0,7177.0,1420.0,8937.0,22463.0,26147.0,2021
1,1,62b0bb354825d977e44bfd83,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CE,CIVIL  ENGINEERING,2326,3227.0,6363.0,5193.0,6612.0,2527.0,7316.0,23541.0,43295.0,2021
2,2,62b0bb354825d977e44bfd84,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CM,COMPUTER SCIENCE AND ENGINEERING (SS),175,260.0,631.0,771.0,501.0,312.0,2940.0,3853.0,5838.0,2021
3,3,62b0bb354825d977e44bfd85,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CS,COMPUTER SCIENCE AND ENGINEERING,29,111.0,388.0,172.0,196.0,67.0,551.0,2101.0,3779.0,2021
4,4,62b0bb354825d977e44bfd87,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,218,332.0,789.0,870.0,962.0,368.0,1680.0,4067.0,3514.0,2021
5,5,62b0bb354825d977e44bfd86,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,809,1297.0,2153.0,2085.0,2126.0,1046.0,5615.0,6509.0,5534.0,2021
6,6,62b0bb354825d977e44bfd89,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),540,722.0,853.0,1684.0,1198.0,724.0,3760.0,8916.0,11789.0,2021
7,7,62b0bb354825d977e44bfd8a,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GI,GEO INFORMATICS,2648,3961.0,4374.0,4010.0,9158.0,2693.0,10811.0,22902.0,,2021
8,8,62b0bb354825d977e44bfd88,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IE,INDUSTRIAL ENGINEERING,3983,5004.0,6580.0,7943.0,9213.0,4896.0,12535.0,29151.0,,2021
9,9,62b0bb354825d977e44bfd8c,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IM,INFORMATION TECHNOLOGY (SS),470,720.0,1661.0,1362.0,880.0,856.0,4894.0,8754.0,3569.0,2021
