,_id,coc,con,brc,brn,OC,BC,BCM,MBC,SC,SCA,ST
0,6452f6d9455c72a9b6e1de4d,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BY,BIO MEDICAL ENGINEERING  (SS),196.0,193,194.5,192,186.185,178.405,193.725
1,6452f6d9455c72a9b6e1de4c,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CE,CIVIL  ENGINEERING,193.5,191.5,186.755,189,183.5,174,
2,6452f6d9455c72a9b6e1de4b,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CM,COMPUTER SCIENCE AND ENGINEERING (SS),199.5,199.5,198,198.5,194.5,189.5,189
3,6452f6d9455c72a9b6e1de4f,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CS,COMPUTER SCIENCE AND ENGINEERING,200.0,200,199,199.3333333,197.5,197.5,
4,6452f6d9455c72a9b6e1de4e,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,199.5,199,198,198,194,185,
5,6452f6d9455c72a9b6e1de50,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,197.5,197,194.5,195.5,189.5,181.855,
6,6452f6d9455c72a9b6e1de51,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),198.5,198.5,196,196.5,191,,187.5
7,6452f6d9455c72a9b6e1de53,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GI,GEO INFORMATICS,193.0,190,188.5,189.5,177.5,180.715,
8,6452f6d9455c72a9b6e1de52,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IE,INDUSTRIAL ENGINEERING,191.5,188,182.5,185,175,184.5,161.5
9,6452f6d9455c72a9b6e1de54,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IM,INFORMATION TECHNOLOGY (SS),199.0,198.5,197.5,196.5,192,187.5,185
10,6452f6d9455c72a9b6e1de55,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MA,MATERIAL SCIENCE AND ENGINEERING (SS),191.5,188,185,187.5,173.5,171,
11,6452f6d9455c72a9b6e1de56,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ME,MECHANICAL ENGINEERING,195.5,193,191.5,190,185,184.5,160.37
12,6452f6d9455c72a9b6e1de57,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MI,MINING ENGINEERING,189.615,182.67,182.41,179.66,174.5,159.5,130
13,6452f6d9455c72a9b6e1de58,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MN,MANUFACTURING ENGINEERING,189.5,185.95,186.5,182.5,177,155.5,
14,6452f6d9455c72a9b6e1de5a,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",PT,PRINTING AND PACKING TECHNOLOGY,186.5,178.505,186.5,178,171.515,139,
15,6452f6d9455c72a9b6e1de59,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XC,CIVIL ENGINEERING (TAMIL MEDIUM),181.0,173,137,167,171,103,
16,6452f6d9455c72a9b6e1de5b,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),185.5,175.5,181.5,171,170,138,
17,6452f6d9455c72a9b6e1de5c,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",AP,APPAREL TECHNOLOGY (SS),169.5,164.5,150,157.5,156.5,164,
18,6452f6d9455c72a9b6e1de5d,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CH,CHEMICAL  ENGINEERING,194.0,191,179.395,186.5,180.5,180,160.78
19,6452f6d9455c72a9b6e1de5e,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CL,CHEMICAL  ENGINEERING (SS),190.0,189,179,185,171.5,151,
20,6452f6d9455c72a9b6e1de5f,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CR,CERAMIC TECHNOLOGY (SS),173.0,162,164,157,153,91,
21,6452f6d9455c72a9b6e1de60,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",FS,FOOD TECHNOLOGY (SS),190.505,187,189.5,185.5,170.295,168.5,165
22,6452f6d9455c72a9b6e1de6d,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",IB,INDUSTRIAL BIO TECHNOLOGY,194.0,191.5,186.5,186.405,175,167,
23,6452f6d9455c72a9b6e1de61,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",IS,INDUSTRIAL BIO TECHNOLOGY (SS),192.5,190,,184,173,,
24,6452f6d9455c72a9b6e1de6b,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",LE,LEATHER TECHNOLOGY,170.0,161.5,167.5,160.5,152.5,142.5,
25,6452f6d9455c72a9b6e1de62,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PM,PHARMACEUTICAL TECHNOLOGY (SS),185.0,177.5,176,179.22,163,171.525,153.5
26,6452f6d9455c72a9b6e1de6e,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),182.0,172.5,177.5,171.5,162,141.5,
27,6452f6d9455c72a9b6e1de6c,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",TX,TEXTILE TECHNOLOGY,176.5,166,174,159.5,156,124.5,131.5
28,6452f6d9455c72a9b6e1de6f,3,"School of Architecture and Planning, Anna University,Chennai 600025",BP,B.Plan,191.465,186.095,183.5,180,169.55,142.5,181
29,6452f6d9455c72a9b6e1de72,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AE,AERONAUTICAL ENGINEERING,194.5,193,192,190,187.5,172.975,
30,6452f6d9455c72a9b6e1de63,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),197.5,197,196,196,189,176,
